,HeavyAtomCount,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteratoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumAliphaticHeterocycles,RingCount,MW,LogP,MR,TPSA
0,5,0,0,0,0,3,0,32,0,0,0,0,2.376500000000001,25.963999999999995,0.0
1,5,0,0,0,0,3,1,32,0,0,0,0,2.0289,26.213999999999995,0.0
2,5,0,0,0,0,3,0,30,0,0,0,0,1.9630999999999998,16.152,0.0
3,5,1,1,1,1,1,2,32,0,0,0,0,0.7787999999999999,21.993799999999997,20.23
4,5,0,1,1,0,1,1,30,0,0,0,0,0.9854,20.971999999999994,17.07
5,5,0,1,1,0,1,2,28,0,0,0,0,1.29,21.478999999999992,9.23
6,5,0,1,1,0,1,2,32,0,0,0,0,1.0428000000000002,22.166999999999994,9.23
7,5,1,1,1,1,1,1,32,0,0,0,0,0.6347,21.923799999999996,20.23
8,5,0,2,2,0,2,0,30,0,0,0,0,0.17930000000000001,17.689999999999998,26.3
9,6,0,0,0,0,4,0,38,0,0,0,0,2.5954000000000006,31.009999999999998,0.0
10,6,1,1,1,1,1,3,38,0,0,0,0,1.1689,26.61079999999999,20.23
11,6,0,0,0,0,0,0,38,0,0,0,0,2.442500000000001,29.74599999999998,0.0
12,6,0,0,0,0,0,2,38,0,0,0,0,2.442500000000001,29.74599999999998,0.0
13,6,0,1,1,0,1,2,36,0,0,0,0,1.3755,25.588999999999988,17.07
14,6,0,0,0,0,0,2,38,0,0,0,0,2.442500000000001,29.74599999999998,0.0
15,6,1,1,1,1,1,1,38,0,0,0,0,1.1673,26.58879999999999,20.23
16,6,0,0,0,0,0,0,30,1,0,1,1,1.6866,26.441999999999993,0.0
17,6,0,0,0,0,0,0,36,0,0,1,1,2.3406000000000002,27.701999999999984,0.0
18,6,0,2,2,0,2,1,36,0,0,0,0,0.5694,22.30699999999999,26.3
19,6,0,0,0,0,0,0,36,0,0,1,1,2.1965000000000003,27.631999999999984,0.0
20,20,0,2,2,0,2,0,102,2,2,4,4,3.0839000000000016,83.27400000000006,6.48
21,23,0,3,3,0,5,1,114,3,1,4,4,4.324220000000002,89.05400000000003,30.18
22,19,1,7,6,1,7,2,98,2,1,3,3,0.48679999999999995,63.79430000000002,86.99000000000001
23,20,0,3,3,0,3,0,102,2,2,4,4,2.4789000000000003,81.06900000000005,19.37
24,21,2,4,4,2,4,0,110,1,2,5,5,1.1981,77.57660000000003,52.93
25,8,0,0,0,0,0,0,42,1,0,1,1,2.30344,35.916000000000004,0.0
26,15,4,4,3,3,5,2,76,2,0,2,2,2.1154699999999997,63.086800000000004,74.79
27,11,0,2,2,0,2,3,60,1,0,1,1,1.1857,46.49500000000003,16.130000000000003
28,17,1,5,4,1,5,2,88,2,0,2,2,1.42302,63.373300000000015,72.19
29,40,4,7,6,4,8,9,218,2,1,4,4,4.747620000000005,160.5924999999997,101.9
30,20,1,5,4,1,5,1,100,2,1,4,4,2.6512200000000004,76.32520000000002,58.120000000000005
31,6,0,0,0,0,0,3,38,0,0,0,0,2.5866000000000007,29.81599999999998,0.0
32,12,0,2,2,0,2,1,64,1,1,2,2,1.8483,48.842000000000034,16.130000000000003
33,30,0,5,4,0,6,6,158,2,2,4,4,3.559300000000002,114.92750000000004,43.86
34,9,0,0,0,0,0,6,56,0,0,0,0,3.7569000000000026,43.667000000000016,0.0
35,20,1,2,3,1,4,4,104,2,1,3,3,4.552200000000004,87.56670000000004,15.27
36,20,1,4,2,1,5,1,100,2,1,3,3,3.3469000000000015,78.28670000000002,49.410000000000004
37,19,1,3,2,1,4,1,94,2,1,3,3,3.129500000000001,77.02970000000002,41.46
38,11,1,2,2,1,2,1,58,1,1,2,2,1.5061,44.21470000000003,24.92
39,24,1,2,4,1,4,4,126,2,2,4,4,5.4009000000000045,106.00470000000007,15.27
40,32,1,6,6,1,6,13,174,2,0,2,2,4.750880000000004,127.02870000000007,72.74000000000001
41,12,2,5,3,2,5,1,66,0,1,1,1,-0.23130000000000006,40.0794,75.27000000000001
42,8,0,0,0,0,0,5,50,0,0,0,0,3.3668000000000022,39.05,0.0
43,22,1,4,5,1,5,0,114,2,2,4,4,3.4392200000000015,94.04770000000005,30.869999999999997
44,19,1,2,2,1,3,0,96,2,2,4,4,3.9163000000000032,76.31970000000004,21.259999999999998
45,20,0,2,2,0,3,0,102,2,2,4,4,4.258500000000003,80.94700000000005,12.47
46,17,2,5,3,2,5,6,96,0,1,1,1,1.7192,63.16440000000003,75.27000000000001
47,20,2,4,3,2,5,1,100,2,1,3,3,2.447900000000001,78.16950000000003,61.69
48,3,0,1,1,0,1,0,18,0,1,1,1,0.016600000000000004,10.819,12.53
49,8,0,0,0,0,0,0,42,1,0,1,1,2.30344,35.916,0.0
50,31,1,7,7,1,8,4,164,3,2,5,5,3.0813200000000016,113.51380000000005,84.39
51,11,2,3,2,2,3,1,58,1,0,1,1,1.3505999999999998,42.41050000000002,49.33
52,13,1,6,5,1,6,0,68,2,0,2,2,-1.0397,46.575700000000005,72.68
53,30,1,5,4,1,7,6,158,2,2,4,4,3.9796000000000022,118.00020000000005,52.650000000000006
54,5,0,0,0,0,0,2,32,0,0,0,0,2.1965000000000003,25.19899999999999,0.0
55,21,1,2,2,1,2,2,114,1,1,3,3,3.882600000000003,87.73580000000005,23.47
56,16,2,5,3,2,5,4,90,0,1,1,1,1.1849999999999998,58.477400000000024,75.27000000000001
57,9,0,2,2,0,2,4,54,0,0,0,0,1.7397,36.157999999999994,26.3
58,10,0,4,4,0,4,0,54,1,1,2,2,0.39949999999999997,35.372,43.6
59,6,0,0,0,0,4,0,36,0,0,0,0,3.0682,30.438000000000002,0.0
60,11,1,1,1,1,1,3,60,1,0,1,1,1.837,48.66770000000003,12.03
61,18,0,1,1,0,1,2,98,1,1,3,3,4.331900000000004,76.62900000000006,3.24
62,21,0,3,3,0,4,4,110,2,1,3,3,3.2565000000000017,87.73540000000006,23.55
63,25,1,5,4,1,5,2,130,2,2,4,4,3.6666000000000025,99.32070000000004,44.81
64,23,1,4,4,1,4,5,118,3,0,3,3,3.6764000000000028,91.64280000000004,47.16
65,13,0,2,1,0,2,1,70,1,0,1,1,2.414300000000001,54.98840000000004,26.07
66,20,1,5,4,1,5,1,108,1,2,3,3,1.7739,78.31570000000005,44.81
67,25,0,3,2,0,4,4,128,3,0,3,3,5.425700000000005,104.03550000000003,33.2
68,16,2,4,2,2,4,2,84,1,1,2,2,0.5378999999999994,59.56340000000003,58.2
69,17,2,4,4,1,4,6,94,1,0,1,1,1.7673999999999999,68.92490000000004,55.56
70,20,0,2,3,0,3,4,104,2,1,3,3,4.241000000000003,87.18400000000005,6.48
